show,rating,title,content,company,author,date
The Mystery of Edwin Drood,9,Dickens Musical ‘Edwin Drood’ Gets Fine Revival: Review,"Cast with a dream team of New York theater talent, the Roundabout presents an inspired revival of Rupert Holmes’s interactive musical, “The Mystery of Edwin Drood.”",Bloomberg,Philip Boroff,11/13/2012
The Mystery of Edwin Drood,9,Finishing Dickens,"""The Mystery of Edwin Drood"" ran for 608 performances. Now the Roundabout Theatre Company has brought ""Drood"" back to Broadway in a revival directed with rip-roaring éclat by Scott Ellis, and I'll be surprised if it doesn't run at least as long as the original 1985 production. For sheer fun, this show is hard to top.",Wall Street Journal,Terry Tecahout,11/13/2012
The Mystery of Edwin Drood,9,"Broadway review: It's no mystery, 'Drood' cast has an infectious good time","Director Scott Ellis' lively, crowd-pleasing and — given the horrors of the East Coast storms and the abiding comedic quality of the material — very well-timed Broadway revival...all has the feeling of a live version of a star-laden holiday TV special, with many of the same pluses and minuses…As a solve-it-yourself, self-aware musical, ""Drood"" presents some traps, not all of which are here fully avoided. At various points, one has to force oneself to re-engage with the grand questions of the plot, which are not always tracked as adroitly as would be ideal. The best productions of ""Drood"" manage, at least in the final number, to exploit the way the lyrics allow the clutter of the show to fall away — and to help us ponder a few broader matters of life and death, at least in passing. That never happens here. But that was bothering almost no one inside Studio 54. Block, who seems relieved not to carry the entire enterprise, sounds particularly spectacular, as does Betsy Wolfe as the ripe ingenue Rosa Bud. Rivera, as one might imagine, could not be a more delightful presence in any romp in town.",Chicago Tribune,Chris Jones,11/13/2012
The Mystery of Edwin Drood,8,Review: Broadway revival of silly ‘The Mystery of Edwin Drood’ gets huge boost from veterans,"Perhaps the best part is watching the first-rate cast have so much fun — Stephanie J. Block shows real comedic power, Jim Norton is having a ball, Chita Rivera is giggly, Gregg Edelman is just silly and Will Chase is over-acting perfectly...This is a play where overacting can be done to perfection…The jokes are hoary, the songs are ditties (""Off to the Races"" is the best known) and the mystery not so mysterious — ""You might like to add that line to your list of suspicious statements!"" says one character to the audience — but the fun is infectious, even if it seems that the folks on stage might be having more of it than the paying guests…In the wrong hands, it can sit awkwardly in a Broadway house — too zany, too arch. But these are the right hands: There are veterans at every turn. So no matter who gets the most votes, everyone wins.",Associated Press,Mark Kennedy,11/13/2012
The Mystery of Edwin Drood,8,'The Mystery of Edwin Drood’ is jolly good fun,"Director Scott Ellis could easily have pushed the pace into a gallop rather than a trot, and cranked up the zany-meter a notch or two. Still, for a show doing triple duty as musical, choose-your-own-ending mystery and time-travel device, “Drood” is jolly good fun.",NY Post,Elisabeth Vincentelli,11/13/2012
The Mystery of Edwin Drood,8,"Theater review:""The Mystery of Edwin Drood""","But ""fun"" was what I returned to. It most exactly suggests the experience of seeing Rupert Holmes' musical, a production that embraces its audience in distinctively enjoyable ways.",NorthJersey.com,Robert Feldberg,11/13/2012
The Mystery of Edwin Drood,8,The Mystery of Edwin Drood,"The Roundabout's revival of ""The Mystery of Edwin Drood"" is a diverting and amiable entertainment. Rupert Holmes' unconventional musical -- derived from Dickens' 1870 serial novel, unfinished when he died without a hint as to how he intended to tie up the plot -- was an exuberant romp when Joe Papp's Public Theater first produced it in 1985. The elements, and the highlights, remain the same, even if the ebullience at Studio 54 seems more manufactured than irrepressible in spots.",Variety,Steve Suskin,11/13/2012
The Mystery of Edwin Drood,8,Theater Review: 'The Mystery of Edwin Drood',"""The Mystery of Edwin Drood,"" inspired by an unfinished Charles Dickens novel, is one of the most inventive, inspired and rousing musicals ever devised. And it is a pleasure to report that the Roundabout Theatre Company's revival is thoroughly well-cast and extremely enjoyable…As atmospherically staged by Scott Ellis, with sprightly choreography by Warren Carlyle and excellent music direction by Paul Gemignani, this production is a reminder that well-known musicals do not need to be reconstructed or darkened for their revivals. If the show is strong, have faith in it and all will fall into place.",amNY,Matt Windman,11/13/2012
The Mystery of Edwin Drood,8,Review: 'The Mystery of Edwin Drood',"The show does have some jaunty, quasi-operetta music with beautiful harmonic blends and a ravishing cast -- including Chita Rivera as Princess Puffer, madam of the opium den, and Jessie Mueller as the slinky-to-her-eyebrows Helena Landless, who, with her brother (Andy Karl) brings a bit of Colonial commentary as the exotics from Ceylon. Jim Norton maneuvers around the fast-patter songs with aplomb as the emcee; Stephanie J. Block is authoritative as Drood, the young gentleman who disappears. His beloved (Betsy Wolfe) is coveted by the opium fiend-music teacher (Will Chase)...Instead of trusting the characters and the mystery to build the suspense, however, Holmes aims for the campy, tiresome and childish. To vote, one presumably cares about who does what to whom. Considering Dickens' storytelling genius, the real mystery is why this isn't fun.",Newsday,Linda Winer,11/13/2012
The Mystery of Edwin Drood,8,Helped Choose Edwin Drood's Killer: My Review,"The original Drood was flawless, but this one--directed by Scott Ellis--does quite nicely, with splendid sets, good casting, and solid attention to the score, which is sophisticated and fun, only a couple of the songs making things temporarily turgid. In the cast, Gregg Edelman, Andy Karl, Jessie Mueller, Robert Creighton, and the gang are comically deft in their suspicous roles. Stephanie J. Block as Drood and Betsy Wolfe as his fiance Rosa Bud, handle the high-power singing. And as opium-wielding Princess Puffer, Chita Rivera lends her legendary presence and wit, making for a surprising Cockney matron and pulling it off with sass and class…It was magical. I vote yes.",Village Voice,Michael Musto,11/13/2012
The Mystery of Edwin Drood,7,The Mystery of Edwin Drood: Theater Review,"One of the refrains sung by the Victorian music hall performers in The Mystery of Edwin Drood is, “No good can come from bad.” The case isn’t quite so black and white in this 1985 “musicale with dramatic interludes” by Rupert Holmes, teased out of the unfinished Charles Dickens novel. But regardless of the accomplished cast and sparkling design and direction in Roundabout’s Broadway revival, nothing great can come of mediocre material…Holmes’ show scores points for ingenuity, but it often feels like being stuck for too long in front of an olde-worlde department-store window display. A vehicle running 2½ hours needs more memorable songs than these mostly interchangeable parlor ditties, and more engaging characters than this bunch, which by design, are cardboard cutouts enlivened by melodramatic flourishes. A genuinely intriguing mystery rather than a half-baked whodunit devoid of psychological complexity wouldn’t hurt either.",Hollywood Reporter,David Rooney,11/13/2012
The Mystery of Edwin Drood,7,Theater Review: The Mystery of Edwin Drood,"Drood, ultimately, is not a complete show so much as an expandable playspace, and with performers of this caliber, an evening of yeasty, nudge-nudge-wink-wink British good humor is more or less guaranteed. The show-within-the-show may drone a bit, but the show-around-the-show sparkles.",Vulture,Scott Brown,11/13/2012
The Mystery of Edwin Drood,7,STAGE REVIEW The Mystery of Edwin Drood,"Edwin Drood's chief claim to fame is Holmes' clever script, particularly his ingenious means of handling the fact that Dickens never wrote the material for the final act. So Holmes simply stops the show, mid-song, and throws crucial questions — including the identity of whodunit — to the audience to decide by democratic vote. As a result, the cast must prepare multiple versions of the ending, with different lyrics and lines dusted off depending on the outcome of the polling. And there's visible delight on stage when theatergoers make less conventional, Herman Cain-like choices. But as Rivera and her top-vote-getting love interest struggled to stay in character through their melodic seduction — clearly this was a new pairing for the cast — it struck me that the obvious joy of the performers on stage was not always translating across the proscenium. Suspiciously, I have to wonder if this is one entertainment that is just more fun to perform than to watch. B",Entertainment Weekly,Thom Greier,11/13/2012
The Mystery of Edwin Drood,6,'The Mystery of Edwin Drood' Sings Again at Roundabout,"Director Scott Ellis’ edition is brisker and brighter than Wilford Leach’s original, most notably in the performances of Will Chase and Betsy Wolfe as Jasper and Rosa. Chase opts for energetic mustache-twirling and Wolfe sticks with innocent and virginal, though both sing powerfully. In the pants role of Drood, Stephanie Block cavorts with a winking manliness and employs her spectacular voice authoritatively, though she lacks originator Betty Buckley’s sharp edge. Jessie Mueller and Andy Karl milk Helena and Neville’s cartoon exoticism for big laughs, and Gregg Edelman dithers appropriately as Crisparkle. Best are the elegantly authentic Jim Norton, absolutely the equal of the peerless George Rose as the troupe’s leader and our host, and, as Puffer, the playful Chita Rivera, who knows in her bones how to do a star turn despite the worst cockney accent since Dick Van Dyke. The audience I saw “Drood” with adored it, and I suspect most will, so hooray for Roundabout. Alas, the show still makes my teeth hurt.",Backstage,Erik Haagensen,11/13/2012
The Iceman Cometh,9,Denzel Washington returns to Broadway in The Iceman Cometh: EW review,"With seven hours of angels and five hours of wizards to take in on Broadway this season, can a case be made for four hours of end-of-the-line drunks? Yes, and a good one. The Iceman Cometh, Eugene O'Neill's frequently revived dark meditation on the life-sustaining merits of self-delusion, is in good hands with this latest creative team led by director George C. Wolfe. (That stunning tableau is thanks to lighting designers Jules Fisher and Peggy Eisenhauer; costumes are by Ann Roth and scenic design, Santo Loquasto.)",Entertainment Weekly,Allison Adato,04/26/2018
The Iceman Cometh,9,‘The Iceman Cometh’ review: Denzel Washington top-shelf in O’Neill’s boozy saga,"Let's get straight to the burning question about Broadway's ""The Iceman Cometh,"" Eugene O'Neill's 1946 booze-soaked saga of curdled lives and dashed dreams: Does marquee attraction Denzel Washington delivereth the goods? You bet - and then some.",New York Daily News,Joe Dziemianowicz,04/26/2018
The Iceman Cometh,9,Theater review: 'The Iceman Cometh',"Everyone shines in this production. Colm Meaney, Michael Potts, Bill Irwin, Tammy Blanchard and Reg Rogers merge the comedy and tragedy masterfully. David Morse as the hardened anarchist Larry is terrific. And Denzel Washington tackles the role of everyone's favorite salesman Hickey with a softer edge here. And if it's not the grandstanding performance we've seen in past productions, it is a most honest one from a gifted actor breathing humanity into this super-human character.",NY1,Roma Torre,04/26/2018
The Iceman Cometh,8,"Review: In an Energized ‘Iceman,’ the Drinks are on Denzel","If you have a good time at a production of ""The Iceman Cometh,"" does that mean the show hasn't done its job? I was beaming like a tickled 2-year-old during much of George C. Wolfe's revival of Eugene O'Neill's behemoth barroom tragedy, which opened on Thursday night at the Bernard B. Jacobs Theater, with Denzel Washington more than earning his salary as its commanding star.",New York Times,Ben Brantley,04/26/2018
The Iceman Cometh,8,‘The Iceman Cometh’ Broadway Review: Denzel Washington Is on a Mission,"Each of the four acts plays in real time. Wolfe's approach is occasionally to suggest the surface realism of ""Iceman,"" but more often he is stripping it away to expose the play's absurdist core. Maybe this is the ""Iceman"" that Samuel Beckett saw in his mind's eye that led him to write his own masterpieces, particularly ""Waiting for Godot."" Illusion and reality. O'Neill and Beckett's characters are flattened by the one, and so they can't live without the other.",The Wrap,Robert Hofler,04/26/2018
The Iceman Cometh,8,'The Iceman Cometh' review: The cast shines in O'Neill's dark drama,"But there are other good reasons to see George C. Wolfe's thoughtful staging of what many consider O'Neill's masterwork, a play that demands much from its audience in that it typically runs nearly five hours. Wolfe brings this one in at just under four without significant detriment or noticeable trims. There's still plenty of time to marvel at the fine cast, a solid group of actors who are the sad denizens of a seedy bar/flophouse on Manhattan's West Side. The men and women who gather in Harry's backroom to drink away their troubles are a pitiful bunch - hookers and pimps, an out-of-work lawyer, a British ex-infantryman and a couple of former anarchists.",Newsday,Barbara Schuler,04/26/2018
The Iceman Cometh,8,"‘The Iceman Cometh’ Review: Denzel Washington Returns To Broadway, Shattering Pipe Dreams","Well before Denzel Washington's glad-handing salesman Hickey makes his fateful arrival in the dive bar of George C. Wolfe's strong new Broadway staging of The Iceman Cometh, Eugene O'Neill's collection of pipe-dreaming drunkards arrange themselves across their end-of-the-line cafe as if modeling for Leonardo's ""The Last Supper.""",Deadline,Greg Evans,04/26/2018
The Iceman Cometh,8,'The Iceman Cometh': Theater Review,"The surest way to get as pickled as the self-deceiving regulars at Harry Hope's downtown New York dive bar in The Iceman Cometh would be to take a shot of whiskey every time someone says ""pipe dreams."" Eugene O'Neill was seldom one to go easy on emphatic repetition of his themes, and the playwright's bleak vision of men drowning their deferred plans in cheap booze can be as prolix as it is poetic. George C. Wolfe's revival feels on some levels like it's still cohering, the underlying despair remaining muted for too much of the three-hour-45-minute running time. But it comes together in a powerful final act driven by the searing confessional monologue of Denzel Washington's Hickey.",The Hollywood Reporter,David Rooney,04/26/2018
The Iceman Cometh,8,‘The Iceman Cometh’ review: Denzel Washington is superb in excellent O’Neill revival,"In order words, Hickey (played by Nathan Lane three years ago at BAM) would not appear to be a role destined for Denzel Washington - yet here he is on Broadway giving a first-rate performance in a first-class revival of O'Neill's titanic 1946 tragedy of shattered dreams, hopelessness and inebriation.",amNY,Matt Windman,04/26/2018
The Iceman Cometh,8,The Iceman Cometh,"Yet the cumulative effect of this handsomely decrepit production is bracing. Director George C. Wolfe keeps things moving at a quick clip; not all of the bigger character choices pay off-and some of the actors are hard to hear or understand-but there are performances to savor. (I especially admired Michael Potts as a crapped-out gambler, Bill Irwin as a slick-handed ex-carny and Tammy Blanchard as a hard-nosed streetwalker.) In the end, however, it is Washington's show, and he seizes it with both hands in Hickey's climactic monologue, an aria of eroding self-deception boldly delivered straight to the audience. He takes us into his confidence, even as it crumbles.",TimeOut NY,Adam Feldman,04/26/2018
The Iceman Cometh,8,Broadway Review: Denzel Washington in ‘The Iceman Cometh’,"Helmer George C. Wolfe has trimmed the play to a reasonable length (it now runs just under 4 hours) without losing the nuances in the various life histories of the boys in the barroom. But this is still a long play with a lot of moving parts. The first act, in which all the characters are introduced and roughly defined, is the most attenuated. Everyone lightens up - a bit too much, actually - in the second act, which shoots for comedy. But everything comes together in the third act, which spells Drama with a capital D. The third act is where Hickey divests himself of his own pipedream, ending the play with a gasp-inducing revelation. In a daring, but quite devastating piece of stage business, Washington turns his chair around and delivers Hickey's long monologue directly facing the audience. You want to talk theater? Take that, people!",Variety,Marilyn Stasio,04/26/2018
The Iceman Cometh,6,Theater Review: The Iceman Cometh Needeth Rethinking,"The revival of Eugene O'Neill's The Iceman Cometh-now at the Bernard B. Jacobs under the direction of George C. Wolfe and strapped with heavy starpower in Denzel Washington-is the kind of production that puts prospective audience members off ""classics"" for good. Whether you're a card-carrying member of the O'Neill Society or you simply flipped a coin at the TKTS booth, you'd be within your rights to run screaming from the theater by the first of the show's two intermissions. If, however, you decided to stick around for the whole moribund, infuriating ride, you might find yourself wondering why this play is considered a classic at all, how it's earned a place on a shelf so high that, these days, we can't get to it without sending up little hot-air balloons of reverence. You might be angry not only at the clumsy production but-blasphemy!-O'Neill's play itself.",Vulture,Sara Holdren,04/26/2018
The Iceman Cometh,6,The Iceman Cometh review – Denzel Washington's mixed return to Broadway,"The last Iceman Cometh to arrive in New York, Robert Falls's, was a melancholy symphony with each voice rising and combining to constitute the play's comfortless music. That's not present in Wolfe's production, a series of solos, many of them from the horn section. Cuts have been made to the play - it runs nearly four hours, an hour less than other productions - and maybe this has harmed the cohesion, the lived-in-ness. One experiences less a world and more a room full of actors, mostly good ones, each waiting for a chance to monologue.",The Guardian,Alexis Soloski,04/26/2018
Sunday in the Park with George,10,"‘Sunday In The Park’ Review: Jake Gyllenhaa &, Annaleigh Ashford Bring Revival To Broadway’s Newest Theater","Nevertheless, their names will not soon disappear from the thoughts of Tony voters come spring, for what was clear when the show was presented last October is more so today: This is a spectacular revival and the principals are simply breathtakingly good. The performances are assured - indeed, they've only grown in confidence. Moreover, the semi-staging by Lapine's niece, Sarna Lapine, with musical staging by Ann Yee, reveals (as if we needed reminding), one of the most beautiful, moving and endlessly inventive scores ever written, not to mention the equally ambitious and rewarding book that frames it.",Deadline,Jeremy Gerard,02/23/2017
Sunday in the Park with George,10,'Sunday in the Park With George': Theater Review,"The creation of harmony out of disharmony and coherence out of chaos are among the themes of Sunday in the Park With George. However, in fortifying for Broadway what was already a probing interpretation of this complex 1984 musical diptych by Stephen Sondheim and James Lapine, first seen in a New York City Center concert staging last fall, the production has elevated an affecting work into something quite rare and exquisite. Jake Gyllenhaal and Annaleigh Ashford bring richer shadings and startling emotional candor to their dual roles, supported by a gifted ensemble that embodies the notion of great art being born out of multiple influences nourishing a unique vision.",Hollywood Reporter,David Rooney,02/23/2017
Sunday in the Park with George,10,"'Sunday in the Park with George' review: Jake Gyllenhaal, Annaleigh Ashford star in superb revival","This revival (directed by Sarna Lapine, niece of James Lapine) originated as a concert staging at City Center. With the exception of an elaborate light sculpture sequence, it is a simple presentation that lacks the visual thrills of the original production or the 2008 Broadway revival. However, storytelling is focused and the score (played by a full orchestra) sounds as glorious as ever. Compared with other actors who have played the role, Gyllenhaal's Georges is sensitive, wounded and even sympathetic.",amNY,Matt Windman,02/23/2017
Sunday in the Park with George,10,'Sunday in the Park with George' starring Jake Gyllenhaal is a wonder,"For the newest Broadway revival, though, we get not just humanity and warmth, but intimacy, tenderness, bursts of humor, and flashes of tremendous beauty -- we get, in effect, as accomplished a production of ""Sunday in the Park with George"" as we are likely to ever see. Headlined by a very impressive Jake Gyllenhaal (yes, he really can sing), and an altogether stupendous Annaleigh Ashford, what could be a mere exercise in coy postmodernism becomes something moving and true.",NJ.com,Christopher Kelly,02/23/2017
Sunday in the Park with George,9,"Review: ‘Sunday in the Park With George,’ a Living Painting to Make You See","He is a thorny soul, a man neither happy nor particularly kind, and not someone you'd be likely to befriend. But when the 19th-century French painter Georges Seurat, reincarnated in the solitary flesh by a laser-focused Jake Gyllenhaal, demands that you look at the world as he does, it's impossible not to fall in love. Or something deeper than love - closer to religious gratitude - is the sentiment you may experience in the finale that concludes the first act of the marvelous revival of Stephen Sondheim and James Lapine's ""Sunday in the Park With George,"" which opened on Thursday night at the newly restored Hudson Theater.",New York Times,Ben Brantley,02/23/2017
Sunday in the Park with George,9,Broadway Review: Jake Gyllenhaal in ‘Sunday in the Park With George’,"A concert staging at City Center last fall of Stephen Sondheim's 1984 Pulitzer Prize-winning musical ""Sunday in the Park With George"" went swimmingly, with Jake Gyllenhaal in the titular role of Georges Seurat, raising hopes for an extended engagement. The theater gods heard, and the re-mounted show is back for a commercial run in one of Broadway's historic jewels, the newly restored Hudson Theater. Under the direction of Sarna Lapine, the staging is more theatrically structured than it was at City Center, with its stools and lecterns. But even as retooled, the show retains the quality of serene simplicity that heightens the poignant beauty of the score. Gyllenhaal returns in the leading role, his acting chops intact, but his voice refreshed and enhanced by what must have been professional coaching.",Variety,Marilyn Stasio,02/23/2017
Sunday in the Park with George,9,'Sunday in the Park with George' with Jake Gyllenhaal connects the dots: theater review,"Jake Gyllenhaal's got it, by George! A handsome, nimble singing voice to go with his solid acting chops, that is. It's all on exhibition in Broadway's wonderful revival of ""Sunday in the Park with George"" at the newly renovated Hudson Theatre. This Pulitzer-winning musical by composer-lyricist Stephen Sondheim and book writer James Lapine premiered 33 years ago. Its power to stir the heart and head with its radiant score and unfading story about the art of making art - and love - is as strong as ever.",NY Daily News,Joe Dziemianowicz,02/23/2017
