,show,rating,title,content,company,author,date
23,Aladdin,7,Aladdin: Theater Review,"Its exotic Middle Eastern setting and multiethnic cast aside, Aladdin offers less ""A Whole New World"" - to quote its signature song - than a traditional Disney fairy-tale realm; it's perhaps the most old-school of the company's screen-to-stage adaptations since Beauty and the Beast. But that shouldn't deter audiences from making this splashy Arabian Nights wish-fulfillment fantasy into a family-friendly hit. Directed and choreographed by musical comedy specialist Casey Nicholaw with loads of retro showmanship, an unapologetic embrace of casbah kitsch and a heavy accent on shtick, this is sweet, silly fun. It's not the most sophisticated entertainment, but the target demographic won't mind at all.",Hollywood Reporter,David Rooney,03/20/2014
24,Aladdin,7,'Aladdin' review: Sweet Broadway Disney,"The carpet flies, kids, and it's awesome. Aladdin, an urchin from the streets, and Princess Jasmine float far away into the extremely twinkly sky. Such awesomeness, of course, is to be expected from ""Aladdin,"" Disney's latest Broadway translation of a beloved animated fantasy. But what's a whole new world, as the song promises, is the almost modest, down-to-earth human scale of director-choreographer Casey Nicholaw's big, cheerful production -- an enjoyable throwback to old-time musical comedy.",Newsday,Linda Winer,03/20/2014
25,Aladdin,7,Review: “Aladdin” Will Leave You Dreaming Of Genie,"Don't be fooled by the title of Disney's latest film-to-stage transfer. ""Aladdin"" may be named after its lead street urchin character, but the musical comedy that just opened at the New Amsterdam Theatre is all about one character: the Genie. That's due to the casting of the energetic James Monroe Iglehart, who all but erases the memory of Robin Williams, the voice of the Genie in the 1992 animated film. It's rare that you see an actor playing a character he was born to play in a career-defining performance. Iglehart, last seen on Broadway in ""Memphis,"" uses his background in improv to create a comedic and charismatic Genie, who's equal parts Fats Waller, Luther Vandross and Oprah Winfrey (""You get a wish! You get a wish!""). Iglehart is so outstanding as Genie that his take on ""Friend Like Me"" stopped the performance I attended with thunderous applause and a standing ovation. It's the number you'll leave the theater talking about.",NBC New York,Dave Quinn,03/20/2014
26,Aladdin,7,“Aladdin” opens on Broadway,"""Animated"" doesn't begin to describe the frantic, screwball version of Disney's ""Aladdin"" that opened Thursday night on Broadway at the New Amsterdam Theatre, with a bushel of new songs and a Genie who works so hard you wouldn't be stunned to find him continuing to grant wishes at the stage door. James Monroe Iglehart is the embodiment here of the role Robin Williams voiced in the 1992 movie, and schtick for schtick and wisecrack for wisecrack, the performance very much keeps to the hyper-caffeinated pace Williams set. If Tonys were given in the category of energy output, they'd award Iglehart three. He is in fact-and no surprise here-the most enjoyable ingredient of director Casey Nicholaw's production, which despite a lot of huffing and puffing and brandishing of scimitars exposes more of the material's rough patches than it does any happier conceits.",Washington Post,Peter Marks,03/20/2014
27,Aladdin,7,"Theater Review: Disney's Same Old World, Back in Aladdin","For Aladdin, Disney's team builds on the take-no-chances, take-no-prisoners lessons of its six Broadway predecessors to all but guarantee a quality hit: if not a Lion King, at least not a Tarzan. They wrote the book on this sort of thing, and now, Walt be praised, they're going to heave it at you. This is not as unpleasant an experience as it sounds; if you're up for a meaningless fling, it might as well be with a pro... If the whole enterprise is arranged to prevent us from taking anything seriously, why should we respond when we're suddenly asked to care? (Spamalot didn't ask us to.) This also makes the romantic roles mostly unactable, at least by the stiff cuties Disney favors...So here's a new fantastic point of view: What if Disney applied its unparalleled know-how to stories that are not reducible to needlepoint truths at the first act curtain? Aladdin will surely be another of its successes; I hope it is. But what if it put its corporate muscle and smarts behind an artist instead of a franchise? What if they gave us a new West Side Story or Gypsy, instead of just quoting them for anachronistic laughs?",Vulture,Jesse Green,03/20/2014
28,Aladdin,7,‘Aladdin’ musical doesn’t quite seem like a Disney hit,"Disney's new ""Aladdin"" doesn't quite catch lightning in a bottle - but it lets a pretty nifty genie out of a lamp. That would be James Monroe Iglehart, in the role memorably voiced by Robin Williams in the 1992 animated hit. Every time this Genie's on stage, it's as if ""Aladdin"" were mainlining Red Bull. Iglehart works so hard during his big number, you fear for his health - that is, when you're not laughing your head off. And then there's the rest of the show...The whole vibe is like a throwback to those old Bob Hope/Bing Crosby movies: ""The Road to Agrabah."" But the journey may be a short one - leaving the beautiful New Amsterdam Theatre free just in time for the ""Frozen"" musical to move in.",NY Post,Elisabeth Vincentelli,03/20/2014
29,Aladdin,7,STAGE REVIEW Aladdin (2014),"As in many a Disney stage production, the big showstopper isn't even human: During 'A Whole New World,' a flying carpet carries our lovers aloft in a night-time ride, swooping and spinning with how'd-they-do-that wonder. (Jim Steinmeyer and Jeremy Chernick are credited with designing the onstage illusions and special effects.) It deserves its own curtain call.",Entertainment Weekly,Thom Geier,03/20/2014
30,Aladdin,6,"A magical Genie in Broadway's 'Aladdin,' but precious little at stake","You might argue that nobody cares about such veracity in a show based on a cartoon and now expanded into a family musical full of color and exuberance - if still wanting for an overarching theatrical reason for being. But if the director Casey Nicholaw, the book writer Chad Beguelin and their cast all were just to pay a little more attention to the importance of committing to the truth of the plot, however familiar, it surely would greatly improve this show. And it would make it easier for us to engage with characters whose romance lacks emotional stakes, not least because it exists in a world without need.",Chicago Tribune,Chris Jones,03/20/2014
31,Aladdin,6,‘Aladdin’: Theater review,"While burning through wishes, you should ask for the musical to have a lot more heart. The absence is glaring, given that Disney excels at tugging at tickers and then making them melt. But this show seldom moves you. The title character's yearning ballad, ""Proud of Your Boy,"" sung to his long-gone mom, isn't enough to make this anything better than a Bedouin ""Beauty and the Beast"" - a cartoon on stage.",NY Daily News,Joe Dziemianowicz,03/20/2014
32,Aladdin,6,Aladdin,"Aside from the tonic of Iglehart's djinn, however, Aladdin is short on magic. Director Casey Nicholaw fills the stage with activity, and Jonathan Freeman and Don Darryl Rivera offer ripe turns as a villainous vizier and his squawking sidekick. But the plotting drifts into weightless silliness, with a surfeit of generic padding and glitz. There's the rub: The musical is called Aladdin, but seems content to be Prince Ali.-Theater review by Adam Feldman",Time Out NY,Adam Feldman,03/20/2014
33,Aladdin,5,‘Aladdin’ Theater Review: Disney's Animation Team Got It Right the First Time,"Suffice to say, ""Aladdin"" bears no resemblance to Nicholaw's previous laugh-filled Broadway effort, ""The Book of Mormon.""...And neither does Chad Beguelin's book, which is loaded with some clever ""Sesame Street"" word play but finds no magic whatsoever in a story rife with magic lanterns, carpets, genies and sultry Arabian nights. Will children get the humor in send-ups of old tap and soft-shoe numbers? Isn't mocking stage traditions a rather cynical way to introduce children to the theater?",The Wrap,Robert Hofler,03/20/2014
34,Aladdin,5,Theater Review: 'Aladin' on Broadway,"Large but agile, Iglehart then leads the singing and dancing in ""Friend Like Me,"" a wonderfully over-the-top moment of celebration. Casey Nicholaw hasn't directed the show very nimbly, but his choreography for this number is invigorating. ""Aladdin"" ends with the hero and Jasmine floating through the night sky on a magic carpet. It's a lovely image, but too little, too late.",NorthJersey.com,Robert Feldberg,03/20/2014
35,Aladdin,4,Broadway Review: ‘Disney Aladdin’,"The magic-carpet ride is magical. The Cave of Wonders is wonderful. And yes, you'll hear the tunes you loved in the 1992 movie. But the notion that ""Disney Aladdin"" somehow resurrects the spirit of the late Howard Ashman, who had the original inspiration for the movie and contributed most of its clever lyrics, is a joke. Restoring a person's work without respecting his artistic sensibility is no tribute at all.",Variety,Marilyn Stasio,03/20/2014
36,Beetlejuice,8,T Broadway Review: ‘Beetlejuice’,"The retooling done since its out-of-town tryout in D.C. - along with a host of others plot twists and character tweaks - gives the latest film-to-musical adaptation fresh snap, surprises and (gasp!) even heart. Sure, the narrative becomes a bit of a cluster-muck in the second act - but mostly it's just screamingly good fun.",Variety,Frank Rizzo,04/25/2019
37,Beetlejuice,8,Beetlejuice comes to Broadway with a fun jaunt through the Netherworld: EW review,"Beetlejuice, with music and lyrics from Eddie Perfect (King Kong: The Musical) and a book by Scott Brown and Anthony King, was crafted from a group of creative minds who clearly love the source material, though not all of it works. There are still second act problems and a song list void of any real bops, but it's a fun time for the Burton novice and pure fan service for the Burton stans, thanks in large part to the titular puckish undead spirit breathing life into a Broadway experiment that could've been dead in the water.",Entertainment Weekly,Nick Romano,04/25/2019
38,Beetlejuice,8,‘Beetlejuice’ on Broadway: It Was a Horror Show. Now It Feels Like a Hit.,"If you are a fan of the film, there are plot similarities and divergences. Actually, the story careens all over the place, which doesn't matter because the performances are mostly excellent and the sets by David Korins notably stunning (including a mansion living room seemingly redecorated mid-performance).",Daily Beast,Tim Teeman,04/25/2019
39,Beetlejuice,8,BEETLEJUICE: THESE GHOSTS ARE GONNA LIVE FOREVER,"And thus is conjured a very enjoyable, very self-aware, very slick, very tuneful, very constructed-to-please-the-crowds new Broadway musical. It opened tonight at the Winter Garden, that frequent home to now-and-forever-running staples, and it's nearly guaranteed to follow suit.",New York Stage Review,Jesse Oxfeld,04/25/2019
40,Beetlejuice,8,"Review of Beetlejuice, starring Alex Brightman, on Broadway","The score by Eddie Perfect -- who also provided songs for this season's King Kong -- is full of wit and grit, and Scott Brown and Anthony King's book propels it forward smartly. There are also hilarious performances from Leslie Kritzer and Sophia Anne Caruso as the mistress and daughter respectively of the house's new buyer Charles (Adam Dannheisser). Beetlejuice is the last new show to open this season -- but could be haunting Broadway for a long while.",New York Theatre Guide,Mark Shenton,04/25/2019
41,Beetlejuice,7,'Beetlejuice': Theater Review,"Writers Scott Brown and Anthony King, along with composer Eddie Perfect and director Alex Timbers, approach the 1988 Tim Burton cult comedy with the giddy excitement of rabid fanboys in their imaginative musical adaptation of Beetlejuice. That enthusiasm translates to the audience, too, with every visual reference lifted directly from the movie yielding huge laughs. The show is a loving homage to a wonderfully weird original, reconceived for the stage with eye-popping design, full-throttle performances and a mischievous sense of fun that literally seems to drip from the Winter Garden Theatre's chandeliers, tinged a ghoulish green for the occasion.",Hollywood Reporter,David Rooney,04/25/2019
42,Beetlejuice,7,Theater Review: 'Beetlejuice',"The score by Eddie Perfect isn't exactly perfect but it's plenty jaunty, though ""The Banana Boat Song"" and ""Shake Senora"" from the film are the show's musical highlights. Director Alex Timbers matches film director Tim Burton's ceaseless creativity. Obviously the challenge was on having to compete with all the filmic effects, and thanks to scenic designer David Korins and the special effects creators, the imagery is truly dazzling. Besides Beetlejuice, the showcase character is Leslie Kritzer's ditzy Delia, and she utterly slays us with this off-the-wall performance. For all the talent here, the show suffers from sensory overload. Then again, that may be just the way ""diehard"" fans prefer it.",NY1,Roma Torre,04/25/2019
43,Beetlejuice,6,Beetlejuice,"Whatever else it may or may not be, Beetlejuice is spectacularly weird. The best creative work in this musical adaptation of Tim Burton's 1988 film-about a pair of sweet ghosts trying to rid their house of its distasteful new inhabitants-has gone into its physical form: The designers come at it from all kinds of crazy angles. David Korins's haunted-house set seems to buckle in the middle and stretch at the edges; William Ivey Long's costumes are a batty vision of colors and patterns at war. There are magic tricks and giant worms and a starkly linear idea of the afterlife that contrasts well with the chaotic world of the living. If only so much of the rest of Beetlejuice were not a busy mess.",TimeOut NY,Adam Feldman,04/25/2019
44,Beetlejuice,6,"‘Beetlejuice’ Broadway Review: It’s Showtime, Ready Or Not","Maybe if they'd said it a fourth time. Three times - ""Beetlejuice! Beetlejuice! Beetlejuice!"" - summons to life the stripe-coated, fright-wigged demon that made a superstar of Michael Keaton way back when. Could a fourth have magically conjured that extra something needed to transform Broadway's Beetlejuice into something beyond the realm of good enough?",Deadline,Greg Evans,04/25/2019
45,Beetlejuice,6,"Film Books Music Art & design TV & radio Stage Classical Games Broadway Beetlejuice review – fun, freaky Tim Burton adaptation haunts Broadway","But happily and improbably Beetlejuice, directed by Alex Timbers, lays those problems to rest. (A pretty hectic rest, but still.) Where the show falters is in the more ordinary stuff of musical theater, story and song. But when the conductor rises from the orchestra pit with a shrunken head above the shoulders of his natty suit, you can forgive a lot.",Guardian,Alexis Soloski,04/25/2019
46,Beetlejuice,6,Theater Review: Beetlejuice Is Best When It’s at Its Most Antic,"Beetlejuice, the rowdy, raunchy musical adapted from Tim Burton's 1988 horror-comedy, openly embraces the theme park-y aspects of an enterprise like the one it's engaged in. True to its source material, it's loud, it's cheeky, and it's all about excess. It's also-thanks in large part to Alex Brightman's spot-on performance as the incorrigible titular ghoul-a pretty fun time.",Vulture,Sara Holdren,04/25/2019
47,Beetlejuice,6,BEETLEJUICE: TIM BURTON’S 1988 CULT FILM KINDA MUSICALIZED,"So with the adjusted book, audiences are now treated to this watered down, gussied up Beetlejuice. The production seesaws somewhat precariously between the dead Adam and Barbara, and the spots-the-dead Lydia. Adam and Barbara, sometimes throwing sheets over themselves to appear as traditional ghosts, seem to be fighting for attention with Lydia's wanting to resurrect her mother. All the while, the comically desperate Beetlejuice contrives to do his handwringing worst.",New York Stage Review,David Finkle,04/25/2019
48,Beetlejuice,6,"Beetlejuice review at the Winter Garden, New York – ‘uneasy mixture of the mournful and macabre’","Alex Timbers' production looks suitably Burton-esque while also attempting to give more of a backstory to the characters. Despite lots of solid laughs, some clever fourth-wall-breaking, and some strong performances, the middling rock-pop score and the unwieldy, sorrowful storyline sap some of the vitality from the original.",The Stage,Nicole Serratore,04/25/2019
49,Beetlejuice,5,'Beetlejuice' review: Broadway musical yet another charmless adaptation of a popular movie,"The cast is solid, including a pepped-up and gravely-voiced Brightman, assertive Caruso and delightfully dorky McClure and Butler. By not taking it seriously, ""Beetlejuice"" may very well offer a reasonably fun time at the theater. But don't we expect better than that?",amNY,Matt Windman,04/25/2019
50,Beetlejuice,5,'Beetlejuice' review: It doesn't conjure up the spirit of the movie,"This problematic adaptation of Tim Burton's 1988 cult movie hit doesn't really know what to do with itself. In the title role, Alex Brightman gets more stage time than Michael Keaton's 18 minutes on screen, and with an abrasive, gravelly voice that's one stop short of laryngitis, he knocks his socks off trying to sell the show. But the material, especially the far-from-memorable songs by Eddie Perfect, simply doesn't cut it.",Newsday,Barbara Schuler,04/25/2019
51,Beetlejuice,5,"REVIEW: Disjointed, manic ‘Beetlejuice’ musical is a hard show to swallow","The show, at the Winter Garden Theatre, might have a better chance of persuading us to go on some deep satiric dive here if it was using an adult actress. But Caruso is not yet an adult, although a whopping teenage talent and about the only human to really emerge well from this disaster. Except perhaps for Leslie Kritzer, whose comic instincts as Delia are so great that even the less-than-Perfect's lyrics and the Scott Brown book cannot bury them in bad taste.",New York Daily News,Chris Jones,04/25/2019
52,Beetlejuice,4,"Review: In ‘Beetlejuice,’ the Afterlife Is Exhausting","The dead lead lives of noisy desperation in ""Beetlejuice,"" the absolutely exhausting new musical that opened on Thursday at the Winter Garden Theater. This frantic adaptation of Tim Burton's much-loved 1988 film is sure to dishearten those who like to think of the afterlife as one unending, undisturbed sleep.",New York Times,Ben Brantley,04/25/2019
