manual_label,show,rating,title,content,company,author,date
2,An Evening with Patti LuPone and Mandy Patinkin,8,NY Review: 'An Evening With Patti Lupone and Mandy Patinkin',"Like peanut butter and jelly, Patti LuPone and Mandy Patinkin are two great tastes that taste great together. Each is a one-of-a-kind talent: Patinkin with his extraordinary range and eccentric delivery that can switch from a delicate falsetto to an earth-rumbling bass without missing a beat, and LuPone with her powerful pipes, steamroller personality, and unique voice capable of approximating an entire brass section from trumpet to alto sax. When these two nonpareils combine, as they do in their concert at Broadway's Ethel Barrymore Theatre, simply titled ""An Evening With Patti LuPone and Mandy Patinkin,"" you get not only a delicious theatrical sandwich, but also dramatic magic.",Backstage,David Sheward,11/21/11
2,Fiddler on the Roof,9,A ‘Fiddler On The Roof’ Broadway Revival That Reaches For Topicality – Review,"But the company struck me as hellbent on selling a Broadway show that needs no salesmanship. Burstein is the key examplar of this. A treasure, he was terrific in Sher's ravishing productions of South Pacific and Golden Boy for Lincoln Center Theatre... But his Tevye is too nebbishy, too ingratiating to charm us into becoming his allies as he struggled to deal with the cruel forces of change from the outside world and within his own family. He's too nice.",Deadline,Jeremy Gerard,12/20/15
1,The Gin Game,7,"First Nighter: James Earl Jones, Cicely Tyson Play 'The Gin Game'; Oren Safdie's Unseemly 'Unseamly'","If you think you're about to hear anything critical of the two old pros James Earl Jones and Cicely Tyson in director Leonard Foglia's revival of D. L. Coburn's 1977 comedy, The Gin Game, at the Golden Theatre, you better think again. As two lonely residents at a home for the aged who find comfort playing cards with each other in a rundown backyard, they're well nigh perfect -- which is what you already knew they would be.",Huffington Post,David Finkle,10/14/15
2,The Lifespan of a Fact,8,"REVIEW: In 'The Lifespan of a Fact' on Broadway, Daniel Radcliffe rails against truthiness","There are contrivances - the play does not acknowledge that most fabulists, like most abusers, are serial offenders. And its binary conflict does not allow for the truth that even the most fiction-loving writer probably would prefer to avoid being sued for libel. But then it's a self-aware comedy: at one point, Radcliffe's truly relentless Jim climbs all the way inside a closet under his quarry's stairs, delighting the Harry Potter fans in the house. That is not the only meta moment. The writers based their play on a real essay penned by the writer John D'Agata and the editor Jim Fingal, which was in turn based on their actual encounter in getting an article ready for publication. So it's a blend of fact and fiction. Right?",New York Daily News,Chris Jones,10/18/18
2,It's Only a Play,9,‘It's Only a Play’ Theater Review: Nathan Lane and Matthew Broderick Remain Broadway's Funniest Team,"If only it were a better play...A lot has changed on Broadway in 30 years, but for McNally it all comes down to changing not much more than a few tons of famous names. McNally doesn't just drop names -- he stomps on them, too...These put-downs comprise act one. In act two, the characters take turn reading the bad reviews. Brantley takes more jabs, but frankly, his New York Times reviews are much funnier than McNally's imitations. Many of the jokes would fail if not for Lane, Broderick and their savvy director, Jack O'Brien...Somehow the vet actors deliver and the new talent keeps coming, and it's nice to report that this revival offers not one, but two, spectacular Broadway debuts.",The Wrap,Robert Hofler,10/9/14
1,Let It Be,7,STAGE REVIEW Let It Be,"a new musical revue in which, to describe it as drily as it was conceived, four men perform 40 Beatles classics, chronologically - has an authenticity problem. It's not that the production...isn't authentic enough (although that's the simplest argument one could make). It's that it doesn't know whether it wants to be authentic or not...Let It Be does have some fun with the cultural monolith of the Beatles: Once we escape dour Liverpool, get past black-and-white Ed Sullivan, cruise through A Hard Day's Night and Shea Stadium, we land on the more wondrous shores of Sgt. Pepper, with the perfectly ridiculous costumes and plenty of psychedelic lightning and projections. Here the musical gorging becomes a visual feast, and the band-as-simulacrum suddenly feels appropriate. Still, they have got to get some better mustaches. B-",Entertainment Weekly,Nick Catucci,7/24/13
2,On the Twentieth Century,10,'Century' a grand vehicle for Chenoweth,"Chenoweth brings to Lily, along with those requisites, the girlish goofiness, feline sexuality and gleaming, chirping soprano - higher and brighter than Kaye's - that have made her one of her generation's most distinctive musical theater talents. At 46, Chenoweth lends both an ingenue's exuberance and a knowing wit to production numbers that require her to juggle virtual arias with hyperkinetic dance routines. Yet while Lily may well be the role of Chenoweth's career, this Century, which opened Sunday at the American Airlines Theatre, is by no means her triumph alone. In this production, directed with giddy virtuosity by Scott Ellis, every player seems perfectly cast - starting with the leading man, Peter Gallagher...",USA Today,Elysa Gardner,3/15/15
0,Side Show,6,Theater Review: The Dual Nature of Side Show,"Despite what seemed like weeks of buzz about its radical transformations, the revival of Side Show that opened on Broadway tonight is not as meaningfully different from the 1997 original as its current creatives would like to think. Now as then, the cult musical about the conjoined twins Daisy and Violet Hilton is itself conjoined. (There's no avoiding the Siamese imagery; many of the songs, and even the title, play on the theme.) The story of the Hiltons' rise from circus freaks to vaudeville stars in the early 1930s, with all the requisite references to cultural voyeurism and its human costs, is fused to an intimate story of emotional accommodation between sisters as unalike as sisters can be. The problem with Side Show is that these stories can't be separated, and only one can thrive.",Vulture,Jesse Green,11/17/14
1,True West,8,True West,"If the charismatic Hawke all but wipes the floor with Dano in the play's first half, Dano gets his turn to act out in Act Two. These are showcase roles, and the actors play them with gusto. James Macdonald's Roundabout Theatre Company production occasionally errs on the side of the obvious: Marylouise Burke brings her customary off-kilter comic panache to her cameo as the brothers' late-returning mom, but Gary Wilmes smears an extra layer of grease on the already oleaginous role of a Hollywood producer, and a showy change of lighting undermines Austin's big story about how his dissolute father lost two pairs of teeth.",TimeOut NY,Adam Feldman,1/24/19
2,The Price,9,"‘The Price’ review: Danny DeVito, Mark Ruffalo make Arthur Miller revival shine","After radical, dazzling director-driven revivals of Miller's ""A View From the Bridge"" and ""The Crucible,"" not to mention the profoundly stripped-down rethinking of Tennessee Williams' ""The Glass Menagerie,"" it feels almost novel - at least, quietly reassuring - to have a lesser-known Miller work presented with down-the-middle sensibilities and expert care.",Newsday,Linda Winer,3/16/17
1,Private Lives,7,Cattrall sexes up dull ‘Lives’,"Gross seems to lose his footing, and his Elyot fails to convey any passion for Amanda. This is a big problem since, plot-wise, there's only a series of quicksilver switches from desire to annoyance and back again. Cattrall shoulders her share of the heavy lifting with grace and sexiness, but you wish she had a better sparring partner.",NY Post,Elisabeth Vincentelli,11/17/11
1,Rock of Ages,6,HIT PARADE'S NOT ROCK-SOLID,"""Rock of Ages"" is what it is: a jukebox musical stringing together songs so familiar, the program lists them in small print between the hosiery credits and the union logos. If you can't identify the first seconds of ""Sister Christian,"" you shouldn't be at the Brooks Atkinson Theatre to begin with. It's not as if the material's been Broadway-ified, either. Backed by an onstage band, the cast rocks out over arrangements that remain pretty close to the originals. And guess what? Familiarity does breed content. Especially if you're the kind of person who gets misty hearing ""Every Rose Has Its Thorn.""",New York Post,Elisabeth Vincentelli,4/8/09
2,The Road to Mecca,8,Those Who Seek to Make Art Often Find Themselves Alone,"In this quiet, slow and ultimately powerful production, directed by Gordon Edelstein and featuring strong performances from Jim Dale and Carla Gugino, Ms. Harris plays Miss Helen, an elderly South African woman who has hitherto seemed gracious, fretful and rather prosaic. Now she has given undiluted voice to the kind of fear that lurks in everyone — one of those personal fears that are so profound that people shirk from naming them. She is magnificent and shrunken, harrowed and harrowing.",New York Times,Ben Brantley,1/17/12
2,Death of a Salesman,9,Death of a Salesman: Theater Review,"Impeccably cast down to the smallest roles, with an ensemble led by Philip Seymour Hoffman, Linda Emond and Andrew Garfield, this emotionally wrenching production evokes the unmistakable atmosphere and attitudes of mid-century America while also putting down trenchant roots in today’s world. ... I had never before experienced the overwhelming impact of the drama to this degree, nor appreciated the extent to which Miller’s observations are culturally specific while at the same time universal and prophetic.",Hollywood Reporter,David Rooney,3/15/12
1,That Championship Season,6,"Male bonding in 'Season,' with great cast","Despite its creation in a tumultuous era, this never was a more than a solid piece of middlebrow message-naturalism. And despite the care and affection lavished on the handsome production, it remains a male-bonding parlor drama that signals its big secrets more clearly than it justifies a high-profile revival. Granted, the bar was set high on this one. Last season, Mosher directed a staggering production of ""A View From the Bridge,"" starring Liev Schreiber and Scarlett Johansson, revealing unimagined depths in Arthur Miller's melodrama. When Mosher chose Kiefer Sutherland, Jim Gaffigan, Chris Noth, Jason Patric and Brian Cox for this conventional piece of curdled mid-America, one could be forgiven for thinking the director had something special in mind for it.",Newsday,Linda Winer,3/6/11
0,Kinky Boots,4,The Who-Cares Test,"Ms. Lauper, who is better known as a singer than a songwriter, has written the score of ""Kinky Boots"" all by herself, and it sounds like it came off a boxed set called ""Cyndi: The Deservedly Forgotten Late-'80s B-Sides."" Jerry Mitchell, the director and choreographer, has done his best to make something out of nothing, but he is incapable of coaxing an interesting performance out of Mr. Sands, who is a good singer and a dull actor. Mr. Porter, more or less conversely, is a good actor and a just-about-adequate singer. Who cares? You won't.",Wallstreet Journal,Terry Teachout,4/4/13
2,Amazing Grace,7,Theater review: Spirited musical 'Amazing Grace' on Broadway leaves you hissing at the hero,"A serious musical with epic themes doesn't come to Broadway that often. The refreshing new show ""Amazing Grace"" admirably covers slavery, abolition, sedition and spiritual themes in 1740s England and Africa, complete with spirited acting and inspirational ballads and anthems...A charismatic Josh Young opens the show strongly...Erin Mackey sings captivatingly, wearing a sweet, saintly air as Mary Catlett...It's a long time coming, but the title song is performed in the beautiful and emotional finale. By then we've been on quite a journey with these characters, and the hymn resonates with relevance and hope, both for their personal stories and the still-uneasy state of racial relations today.""",Associated Press,Jennifer Farrar,7/16/15
2,Constellations,9,"Nerds in Love, Rewriting Destinies","Who knew that higher physics could be so sexy, so accessible -- and so emotionally devastating? ""Constellations,"" Nick Payne's gorgeous two-character drama, starring a perfectly matched Jake Gyllenhaal and Ruth Wilson, may be the most sophisticated date play Broadway has seen...as staged by its original director, Michael Longhurst, ""Constellations"" has been scaled up without bloat, and it's every bit as affecting as I remember...It's no surprise that Ms. Wilson...is comfortable with her role's demands. But Mr. Gyllenhaal, whose theater experience is more limited, is every bit as persuasive. They are both fluent in the awkward body language of nerds in love, and in the crossed signals of emotional ambivalence. But they use contrasting and complementary physical vocabularies to balance, gracefully and clumsily, shifts in power and longing, aggression and retreat.",New York Times,Ben Brantley,1/13/15
2,The Ferryman,9,Theater Review: Livestock and Stock Types in The Ferryman,"The devil of it all is that is that, both despite and because of its flagrant use of formula, The Ferryman hooks us through the gills and pulls us along. After all, are we not entertained? There's a live goose, for God's sake. In the wake of the play's frantic, lurid, pull-out-all-the-stops-and-knock-down-all-the-pins conclusion (which makes the whole play feel like the prequel to an as-yet-unwritten bloodbath blockbuster called The Wrath of Quinn), the audience rocketed to its feet - and I got the reaction. Even though, when I stopped to think about it, at least three different elements of the story's final catastrophic 60 seconds left me wondering, ""Wait, but why?"" In a sense, set and costume designer Rob Howell's rendering of the Carneys' farmhouse, with its barrage of meticulous detail and its absurdly outsize proportions, is the perfect metaphor for the play itself: It's a head-trippy presentation of rich, authentic-seeming texture inside a romanticized, larger-than-life box - a gourmet meal by a very clever chef that somehow gives us the same uneasy satisfaction as Lucky Charms. ""That just... almost looked right,"" said the friend who saw it with me, whose family lives in Donegal, ""And... almost felt right. But...""",Vulture,Sara Holdren,10/21/18
1,Cat on a Hot Tin Roof,5,'Cat on a Hot Tin Roof' review: Sedate revival for Scarlett Johansson,"Broadway has embraced many - perhaps too many - breeds of ""Cat on a Hot Tin Roof"" in recent years. Tennessee Williams' hungry and restless Maggie has been reincarnated as a slinky sexpot (Elizabeth Ashley), a sexual bulldozer (Kathleen Turner), an ineffectual flower (Ashley Judd) and, barely five years ago, a smartly luscious kitten (Anika Noni Rose) in the all-black production best remembered for James Earl Jones as Big Daddy. What we have not had, at least in my experience, is a sedate Maggie in a tasteful, even timid revival of Williams' 1955 Pulitzer winner about voracious Southern-gothic greed and a loveless, lying family.",Newsday,Linda Winer,1/17/13
0,Bandstand,7,‘Bandstand’ review: Band of war vets serves up music and emotion,"The title ""Bandstand"" is a curveball. So is the subtitle, ""The New American Musical."" For audiences of a certain age, the name of the season's final musical suggests those dopey and adored teen dance shows that began on '50s TV. To audiences of a different certain age, the '40s look of the publicity photos implies a happy story of the bands that entertained the troops in World War II and moviegoers forevermore. Once inside the theater, however, we discover that we are meant to take the word apart and take it seriously. This is a musical - really, more of a musical drama - about a band of damaged war veterans who take a stand while competing in a national radio contest in 1945. The concept is more ambitious, darker and more sophisticated than its name invites theatergoers to enjoy. It is also more than a little shapeless and overly long.",Newsday,Linda Winer,4/26/17
2,The Curious Incident of the Dog in the Night-Time,8,"‘The Curious Incident of the Dog in the Night-Time,’ theater review","Director Marianne Elliott, a Tony winner for her stunning staging of ""War Horse,"" proves a master at orchestrating visceral and wildly energetic scenes as well as poignant hushed moments. The show's design is another asset, including the set whose walls look like graph paper... When Chris imagines himself tumbling in space, held aloft and spun by his fellow actors, it's lump-in-the-throat time. Not everything works as weightlessly. The play-within-the-play device can confuse, as when Christopher gives fellow actors notes about their performances.",NY Daily News,Joe Dziemianowicz,10/5/14
2,Mean Girls,7,It’s Fetch. But It Could Be Fetcher: Review of Tina Fey’s ‘Mean Girls’ on Broadway,"If you loved the movie, if you found it as 'fetch' as Plastics sub-lieutenant Gretchen Wieners (here played by Ashley Park) would wish, then you will also love this musical, directed and choreographed with characteristic verve and juiced-up passion by Casey Nicholaw. The book by Tina Fey still has all the sly, biting brilliance and precise observational humor of the original movie, which she also wrote.",Daily Beast,Tim Teeman,4/8/18
2,Venus in Fur,9,Kinky ‘Venus’ Sizzles on Broadway,"No, the big take-away from playwright David Ives's latest comic free-for-all is the thrill of watching an actress named Nina Arianda -- a brand new, old-fashioned star -- light up the sky.",Bloomberg,Jeremy Gerard,11/8/11
2,Forever Tango,8,Forever Tango: Theater Review,"...this Broadway summer filler's main challenge is to inject variation into an entertainment built entirely around a single sultry dance tradition, defined by its heightened sense of melodramatic sizzle. But creator-director Luis Bravo's worldwide hit addresses the fatigue issue by steadily cranking up the degree of difficulty in the routines as the marathon progresses....Smirnoff and Chmerkovskiy are about as authentically Argentinean as Tango & Cash, but who cares? The crowd is mad for them, and it's easy to see why. They're tall, sinuous and sexy, delivering polished showmanship with effortless charisma. The four routines that feature the duo are among the highlights",Hollywood Reporter,David Rooney,7/14/13
1,Mean Girls,6,"Review: Bye bye, Lindsay Lohan. In Tina Fey's 'Mean Girls' on Broadway, the arty geeks take center stage.","All of Fey's long-form shows have unfolded at rapid paces and ""Mean Girls"" is no exception. It's packed with body-twisting and often witty choreography from Nicholaw, whose show, with a set by Scott Pask, is so stocked with stimulation (verbal, physical, digital) that it rests not for a second, a choice that does not help Henningsen really change, given that Richmond's score, as energetic and funny as everything else here, is hardly centered on self-reflective ballads. But that likely will delight much of the audience who'll be trying to figure out why that dance number had boys in drag (don't ask me) and that one had that Easter egg and so on. At the Saturday matinee I saw, the balcony was having so much whoop-it-up fun, I was worried about someone's tucked-away phone falling and smacking me on my balding pate.",Chicago Tribune,Chris Jones,4/8/18
2,The Normal Heart,8,A Still-Blistering 'Normal Heart' Hits Broadway,"Larry Kramer's historic play about the beginning of an epidemic that has killed millions can be seen as a time capsule of a period when the disease was first emerging. But it can also be a cautionary tale for any horror we have yet to fully grasp...Mantello manages to make his unlovable Weeks lovable and he steers clear of hagiography. Joel Grey and George C. Wolfe co-direct and push the throttle - each scene is fraught with emotion, anger is quick to explode, papers are tossed with abandon, and any moment of humor is milked for the relief it offers from a hectic production.",Associated Press,Mark Kennedy,4/28/11
0,The Great Society,6,‘The Great Society’ Broadway Review: Brian Cox Tackles LBJ in Sequel to ‘All the Way’,"It's been five years since Bryan Cranston's Tony-winning turn as Lyndon B. Johnson in Robert Schenkkan's ""All the Way."" Now Schenkkan has followed that epic historical pageant with a sequel, ""The Great Society,"" opening Tuesday at Lincoln Center's Vivian Beaumont Theatre, that like LBJ's second term dwells mostly in the shadows of its predecessor.",The Wrap,Thom Geier,10/1/19
1,Stick Fly,7,Sticking to what has flown before,"The best thing about “Stick Fly” is its shameless reliance on soap-opera theatrics. Playwright Lydia R. Diamond multiplies heated arguments about race, class and gender, but the comedy that opened last night is really an old-fashioned, corny melodrama.",NY Post,Elisabeth Vincentelli,12/8/11
0,The House of Blue Leaves,4,"New Drama 'Jerusalem' Thrills, but Revivals 'House of Blue Leaves' and 'Born Yesterday' Need Reviving","Yet in 2011, after Real Worlds and Real Housewives, after three decades of media-star pontiffs, Blue Leaves feels very much like an artifact of the late 1960s. At a time when some of its key surrealism is commonplace, Blue Leaves' other antic bits of wackiness—a fatal bombing played for laughs; hearing aids confused for pills—are still funny but land less effectively. The farcical elements don't build up the comedy of ridiculous premises; they instead rub awkwardly against the entirely reasonable.",New York Observer,Jesse Oxfeld,4/26/11
2,Cinderella,7,Is Cinderella Enchanted? My Review,"Rodgers and Hammerstein's Cinderella--which originated as a light and lovely 1957 TV special--has been fleshed out with theatrics, jokes, a political subplot, puppets, extra songs, and anachronisms. The result is an unwieldy but crowd pleasing concoction that ends up being reasonably entertaining despite its jarring multiple tones.",Village Voice,Michael Musto,3/3/13
1,Dead Accounts,4,Theater review: ‘Dead Accounts’,"In lieu of an engaging story, unseen people, including the sibs’ sick dad, are gabbed about while undeveloped thematic strands dangle. Ideas rise up about staying put in one’s hometown vs. leaving, buying into God vs. worshipping money and life in New York vs. the Midwest. After an hour, Jack’s wife, Jenny (Judy Greer, miscast as a model of urbanity), arrives and reveals that her soon-to-be ex has raided neglected bank accounts of dead people to the tune of $27 million. The huge sum is a device to reveal Jenny’s greed and to give Lorna an aria about why she can’t fret about banks getting screwed.
Director Jack O’Brien can’t do much with the material, so he puts his energy into moody scene changes. And he cast Butz, who he guided to Best Actor Tony wins in “Dirty Rotten Scoundrels” and “Catch Me If You Can.”",NY Daily News,Joe Dziemianowicz,11/29/12
1,On a Clear Day You Can See Forever,4,Forecast cloudy for retooled 'Clear Day',"The reincarnation of the 1965 musical ""On a Clear Day You Can See Forever"" now begins with its leading man, a shrink named Dr. Mark Bruckner, addressing a 1974 meeting of the American Psychological Association and discussing a patient who apparently was someone else in a past life, a someone with whom this doctor fell in love. When the star of the new Broadway version, Harry Connick Jr., starts to lecture, you're immediately put in mind of Al Gore. The craggy crooner, who plays opposite the gorgeously voiced Chicago star Jessie Mueller in a troubled and perplexing show that is hardly the best vehicle for her Broadway debut, has a physical resemblance to the handsome former vice president, and he also embodies some of Gore's signature stiffness. But among many inconvenient truths in this revival, with a radically retooled new book by Peter Parnell and direction and reconception by Michael Mayer, Connick — the big star on the marquee — is just not given a character or persona within which he can rest easy.",Chicago Tribune,Chris Jones,12/11/11
1,A Streetcar Named Desire,6,"Hey, Stella! You Want to Banter?","“The Poker Night” was once the working title for what would become Tennessee Williams’s most celebrated work. So perhaps it’s appropriate that a poker game provides one of the few moments approaching excitement in the torpid revival of the play that was renamed “A Streetcar Named Desire.” ...when the woman in the seat beside me started to nod off during the first act of this “Streetcar,” I didn’t have the heart to nudge her. Handsomely designed by a top-flight team — including Eugene Lee (set), Paul Tazewell (costumes) and Edward Pierce (lighting) — this “Streetcar” is mostly an exquisite snooze.",New York Times,Ben Brantley,4/22/12
0,Soul Doctor,6,'Soul Doctor' review: Rock-Star Rabbi,"Eric Anderson as Shlomo and Amber Iman as Nina spiritedly lift ""Soul Doctor"" beyond Old and New Testament realms...Shlomo and Nina's first encounter is worth even the Broadway price of admission...Neil Patel's Wailing Wall set moves us seamlessly to the jazz and hora beats of Seth Farber's orchestra and Benoit-Swan Pouffer's go-with-the-flow choreography...But we're most disappointed in the final tableaux -- phonier even than presidential candidates hugging after a primary slugfest. Zealots don't forgive perceived infidels. This is a biographical musical, not a Disney fantasy.",Newsday,Steve Parks,8/15/13
0,Spider-Man Turn Off the Dark,5,Spider-Man: Turn Off the Dark,"This gajillion-dollar musical will never be good, but, having dislodged its creator, Julie Taymor, it has been salvaged.",The New Yorker,,6/14/11
2,Vanya and Sonia and Masha and Spike,9,‘Vanya and Sonia and Masha and Spike’ Is Pure Joy From Start to Finish,"It has taken 30 producers to bring Christopher Durang's six-character, one-set comedy ""Vanya and Sonia and Masha and Spike"" to the Great White Way, and all I can say is God bless them, every one. A sold-out hit Off-Broadway for Lincoln Center Theater this past fall, it is easily the best new play of the Main Stem season to date and a top contender for the Tony Award. Both breathtakingly funny and quietly poignant, this Chekhov-inspired work-for which knowledge of the Russian master's plays is not a requirement-is pure joy from start to finish.",Backstage,Erik Haagensen,3/14/13
2,Big Fish,7,Review - BIG FISH Makes Wholesome The New Hip,"Wholesomeness gets a bad rap on Broadway these days, usually regarded as the kind of unbearably sweet and inoffensive entertainment that sophisticated theatergoers must endure while taking their conservative grandmas out for a night on the town...But Big Fish, the new musical that tattoos its heart on its arm, displays no fear in plopping its unabashed wholesomeness right in your lap. Its spirit is steeped in Rodgers and Hammerstein decency that propels an evening that's adventurous, romantic and, yeah, kinda hip. That said, the work of Andrew Lippa (score) and John August (book, based on his own screenplay of Daniel Wallace's novel) is not exactly top shelf musical theatre (although on paper Big Fish easily outclasses any original-run Broadway musical currently on the boards) but director/choreographer Susan Stroman, at the top of her game, whips this warmhearted story into a supremely imaginative and heart-tugging entertainment.",BroadwayWorld,Michael Dale,10/6/13
2,The Testament of Mary,9,The Testament of Mary: Theater Review,"A dense, boldly unorthodox piece for risk-averse Broadway, it has been directed with transfixing focus by Deborah Warner, whose frequent collaborations with Shaw go back 25 years...[Shaw's] Mary is haunted, scornful, a hardened skeptic as uncompromisingly judgmental with herself as she is with others. She also has the manic energy of a woman whose refusal of the comforts of sleep - and more pointedly, the healing balm of dreams - has taken her beyond fatigue...Provocative as much of the content is, Toibin is not doing anything so blunt as a revisionist interpretation of the Scriptures. He is undertaking a nuanced psychological exploration of a figure whose nobility is due in part to her eternal silence, rendering her instead here as a woman who will not be silenced.",Hollywood Reporter,David Rooney,4/22/13
0,Disgraced,8,"'Disgraced' makes you laugh and think, to a point","By the end of Disgraced, Amir -- who seemed so richly human earlier, with his capacity for arrogance and shame and fear and pride and empathy -- has been reduced nearly to a victim, and his potentially intriguing journey to a sort of cautionary tale about ambition and bigotry. To Akhtar's credit, and that of director Kimberly Senior and her excellent cast, that tale is at least fun to watch. Hari Dhillon makes Amir...charming and frustrating, showing us both his cultivated slickness and his ongoing struggle to reconcile what he's experienced...with what he's become. Gretchen Mol movingly conveys Emily's own conflicts, and her fundamental decency.Josh Radnor and Karen Pittman provide witty, full-blooded performances as the Kapoors' guests, who seem to have their own issues...Their combined efforts make Disgraced consistently entertaining and thought-provoking -- just not as much as you wish it were.",USA Today,Elysa Gardner,10/23/14
2,The Curious Incident of the Dog in the Night-Time,9,Theater review: 'The Curious Incident of the Dog in the Night-Time',"All in all, though, ""The Curious Incident"" is a singular, rather remarkable production. Beyond the staging, lots of credit goes to Sharp, who uses the distinctive way he holds his body, gestures and speaks to totally inhabit Christopher. A recent Juilliard graduate, the young actor makes a notable professional debut.",Bergen Record,Robert Feldberg,10/5/14
